sample_id,group,combination,prediction_png,prediction_sha256,target_png,target_sha256,psnr,ssim,lpips,maniqa,clipiqa,musiq
test/A/rain + haze/039,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/039.png,2c84a5ce2f35dedb7f1dcd91feced640a11968904a27cf57762bf064796900a9,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/039.png,a2038f7610363fb1916197e0557fa84b50b610d86885a2d6409f9e3aa75fbbcd,18.802326202392578,0.6423814368122901,0.173557311296463,0.3502683639526367,0.7001828551292419,51.44105911254883
test/A/rain + haze/040,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/040.png,a65b2ebb8d3515880de0faa2a72ffd57458d2f1a5a5e81c9fd4f14bf17e12b51,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/040.png,c5a9e4bb9d84a6734bdc04c272c48c1b17b150a1e346afab2338eb0ba41f1464,24.826595306396484,0.896761722387514,0.1330028921365738,0.398690402507782,0.6998316645622253,61.686336517333984
test/A/rain + haze/043,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/043.png,97724d824c34ea870028f26fe415f8425b8c8d1107c844b40df61446a6356253,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/043.png,15880c27b3101797c4e5896dee7349ad832ac1c49fcd0c559b357f4e28296b4d,27.55511474609375,0.8931241196319453,0.031088704243302345,0.5327709317207336,0.8205767869949341,67.70564270019531
test/A/rain + haze/044,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/044.png,de00adccfea7b7a1398d0b94e0df675839ee29abb088f0233f40d609bfff7767,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/044.png,0645011c1dc3777ab263df617d1747b902c2d321de6f939549cfbe43eabc9245,23.808448791503906,0.9095893593804878,0.06851544976234436,0.4127221703529358,0.7893258333206177,57.485103607177734
test/A/rain + haze/045,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/045.png,31618b9584477751e6a59f5b3692dab3ab3b5358d3d1fc6944f6e1b0950f88ec,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/045.png,d3e352c98c1fe9df1181c1e362bb9c3ba3a1d077456198796083821dab20d1fc,23.680618286132812,0.9066619597003883,0.08384515345096588,0.43770575523376465,0.7319402098655701,64.30221557617188
test/A/rain + haze/046,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/046.png,ef7652e492f6994d6e9d00c684dc1a05e2d129a986eaea023fae5328a6f4cde9,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/046.png,af4b21bf96515f2ff4f97a4990856b43ae02a1d8f39909428228a2612b5f936f,29.8055362701416,0.9681372557219647,0.04782608896493912,0.6263970136642456,0.7965176701545715,66.05693817138672
test/A/rain + haze/047,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/047.png,c269fb7f7a4fac63393c65afac216defa3f23fd9dfff1c0637012e0b34946ab0,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/047.png,8ecf454f7d68ca4ebf19b2b4a22275d3bb344666e4e483fda2c8cb84d5ff94db,30.81171417236328,0.9494599027475634,0.03945304453372955,0.5597711205482483,0.8198077082633972,68.79407501220703
test/A/rain + haze/048,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/048.png,07c4c57d7a765b47c9532324915c693319abbe89fb2aa77bacc5c822b6b2fc53,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/048.png,b74e449ab10a96799f5e791f68de34dcfaf90a4befdb242cee372f6743841606,29.066070556640625,0.9723375315024968,0.020169630646705627,0.45303988456726074,0.6104404926300049,65.53108978271484
test/A/rain + haze/049,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/049.png,58f2581a45b014ff380d72c5031cd88e6bf68bed2ccd4382820a0b54bf8b333e,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/049.png,bdd8f4cec02d5659a12541bb32718429d397d6be195679045764e31574c4f226,26.076976776123047,0.9804996426163837,0.015386260114610195,0.4240962266921997,0.548036515712738,60.85398864746094
test/A/rain + haze/050,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/050.png,591ee0afe2a4d7f8ad4c41c8c72b9c3358e31786f388f62558be7437fb2b06af,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/050.png,c4cfbc77b28b145af37ea26b0b501d69633ebdedd3ce9a90d5760063ee95f492,26.308494567871094,0.9195822173396295,0.04556715488433838,0.51675945520401,0.7019999623298645,75.3959732055664
test/A/rain + haze/053,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/053.png,29c8fdb66fad8f2194e02231159fc546fc1ed038a59dd30e9018940fed464f3c,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/053.png,6b1f2208c72adcd28d96a15d538bbfbe27cb5a21be416b6f30fa836b12ac867d,21.866744995117188,0.7218978290005105,0.21358852088451385,0.3173242211341858,0.6875435709953308,62.831031799316406
test/A/rain + haze/054,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/054.png,127b3e7e6642fac40ae02f6bf24de45d386b2cc4df33f055b6228d8973b6aa0f,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/054.png,699ffde2d8d110e52811d39e5b9d745965d4211dd2312f453ce367f1bc0e66f5,18.927457809448242,0.7798156473154235,0.19375763833522797,0.42418423295021057,0.6246823668479919,69.47238159179688
test/A/rain + haze/055,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/055.png,ed1a02c5883dfd3156f19c78b1acc0efd8630280379527430b769b0dd5c1452a,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/055.png,5a59c6f9051a70f1c3ad8e9550b2a21322ef8ad71bd70085fb2330f6f6da3948,26.686630249023438,0.9227740490419643,0.21670091152191162,0.3866371512413025,0.5789285898208618,67.97222137451172
